# go-pptx PERF-01 raw benchmark log
# timestamp: 2026-09-12T00:14:59Z
# go-version: go version go1.27.0 windows/amd64
# count: 10
# benchtime: default
# timeout: 30m
# bench: BenchmarkPerf
goos: windows
goarch: amd64
pkg: github.com/F31/go-pptx
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkPerfReplace/10p-text-24      	   78598	     17852 ns/op	 810.22 MB/s	     14464 pkg-bytes	   40344 B/op	     257 allocs/op
BenchmarkPerfReplace/10p-text-24      	   71926	     15910 ns/op	 909.13 MB/s	     14464 pkg-bytes	   40344 B/op	     257 allocs/op
BenchmarkPerfReplace/10p-text-24      	   70238	     17002 ns/op	 850.70 MB/s	     14464 pkg-bytes	   40344 B/op	     257 allocs/op
BenchmarkPerfReplace/10p-text-24      	   66336	     16811 ns/op	 860.40 MB/s	     14464 pkg-bytes	   40344 B/op	     257 allocs/op
BenchmarkPerfReplace/10p-text-24      	   77632	     16321 ns/op	 886.25 MB/s	     14464 pkg-bytes	   40344 B/op	     257 allocs/op
BenchmarkPerfReplace/10p-text-24      	   74516	     15968 ns/op	 905.83 MB/s	     14464 pkg-bytes	   40344 B/op	     257 allocs/op
BenchmarkPerfReplace/50p-image-24     	   61225	     19782 ns/op	3101.55 MB/s	     61356 pkg-bytes	   44328 B/op	     325 allocs/op
BenchmarkPerfReplace/50p-image-24     	   64669	     18670 ns/op	3286.36 MB/s	     61356 pkg-bytes	   44328 B/op	     325 allocs/op
BenchmarkPerfReplace/50p-image-24     	   59726	     19411 ns/op	3160.88 MB/s	     61356 pkg-bytes	   44328 B/op	     325 allocs/op
BenchmarkPerfReplace/50p-image-24     	   60824	     19358 ns/op	3169.56 MB/s	     61356 pkg-bytes	   44328 B/op	     325 allocs/op
BenchmarkPerfReplace/50p-image-24     	   60536	     19562 ns/op	3136.55 MB/s	     61356 pkg-bytes	   44328 B/op	     325 allocs/op
BenchmarkPerfReplace/50p-image-24     	   57500	     18749 ns/op	3272.54 MB/s	     61356 pkg-bytes	   44328 B/op	     325 allocs/op
BenchmarkPerfReplace/50p-image-24     	   54868	     19466 ns/op	3151.97 MB/s	     61356 pkg-bytes	   44328 B/op	     325 allocs/op
BenchmarkPerfReplace/50p-image-24     	   63236	     19010 ns/op	3227.53 MB/s	     61356 pkg-bytes	   44328 B/op	     325 allocs/op
BenchmarkPerfReplace/50p-image-24     	   63196	     19977 ns/op	3071.36 MB/s	     61356 pkg-bytes	   44328 B/op	     325 allocs/op
BenchmarkPerfReplace/50p-image-24     	   57517	     20755 ns/op	2956.15 MB/s	     61356 pkg-bytes	   44328 B/op	     325 allocs/op
